"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",20,"ATG","Antigua and Barbuda","59.26",2023,"","ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",20,"ATG","Antigua and Barbuda","59.26",2024,"","ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",20,"ATG","Antigua and Barbuda","59.26",2025,"","ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",23,"AUS","Australia","51.55",2018,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",23,"AUS","Australia","52.3",2019,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",23,"AUS","Australia","51.32",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",23,"AUS","Australia","61.6187",2021,"","","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",23,"AUS","Australia","57.2485",2022,"","ITU Research","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",23,"AUS","Australia","53.48",2023,"","Department of Infrastructure, Transport, Regional Development and Communications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",23,"AUS","Australia","56.03",2024,"","Department of Infrastructure, Transport, Regional Development and Communications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",23,"AUS","Australia","55.83",2025,"","Department of Infrastructure, Transport, Regional Development and Communications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",24,"AUT","Austria","33.93",2018,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",24,"AUT","Austria","32.95",2019,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",24,"AUT","Austria","33.91",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",24,"AUT","Austria","33.6431",2021,"","","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",24,"AUT","Austria","29.5973",2022,"","ITU Research","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",24,"AUT","Austria","13.94",2023,"","Austrian Regulatory Authority for Broadcasting and Telecommunications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",24,"AUT","Austria","37.57",2024,"","Austrian Regulatory Authority for Broadcasting and Telecommunications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",24,"AUT","Austria","31.46",2025,"","Austrian Regulatory Authority for Broadcasting and Telecommunications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",25,"AZE","Azerbaijan","5.88",2018,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",25,"AZE","Azerbaijan","5.88",2019,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",25,"AZE","Azerbaijan","5.88",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",25,"AZE","Azerbaijan","5.88235",2021,"","","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",25,"AZE","Azerbaijan","7.64706",2022,"","ITU Research","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",25,"AZE","Azerbaijan","7.65",2023,"","Ministry of Digital Development and Transport; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",25,"AZE","Azerbaijan","7.65",2024,"","Ministry of Digital Development and Transport; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",25,"AZE","Azerbaijan","7.65",2025,"","Ministry of Digital Development and Transport; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",27,"BRA","Brazil","10.92",2018,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",27,"BRA","Brazil","10.92",2019,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",27,"BRA","Brazil","13",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",27,"BRA","Brazil","18.8859",2021,"","","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",27,"BRA","Brazil","20.3225",2022,"","ITU Research","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",27,"BRA","Brazil","20.18",2023,"","Agência Nacional de Telecomunicaçőes; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",27,"BRA","Brazil","19.15",2024,"","Agência Nacional de Telecomunicaçoes; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",27,"BRA","Brazil","17.09",2025,"","Agência Nacional de Telecomunicaçoes and ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",28,"BHS","Bahamas","29.99",2018,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",28,"BHS","Bahamas","34.71",2019,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",28,"BHS","Bahamas","34.71",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
