country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
PRY,-18.94,-6.95,-1.54,-8.53,66.66335000000001,,28.6742,,,,,,,,,,,16.935533333333336,
PSE,-13.8,-13.53,-10.58,-16.34,40.6071875,12.897710000000002,27.96625,20.6272,55.5931,18.0458,28.1229,17.9086,39.5767,14.0658,9.65084,8.98967,13.5274,6.802386666666667,18.02225
PYF,-53.78,-8.82,-0.81,-10.58,,,,,,,,,,,,,,,
QAT,-100.27,-13.74,-0.29,-13.74,,,,,,,,,,,,,,,
ROU,-6.34,-6.26,-0.4,-6.26,51.62567666666666,17.57375,40.162875,22.6991,61.5962,27.7722,5.04164,17.6919,52.5146,23.3896,14.163,,,19.12635,18.3036
RUS,-6.41,-7.47,-0.7,-5.29,60.9772,17.848741999999998,45.448125,9.25347,80.8927,19.6247,26.4269,23.4114,59.8852,27.6243,53.8087,10.8218,8.47072,33.145434,13.88165
RWA,-17.86,-1.43,-3.73,-2.14,,,,,,,,,,,,,,,
SAU,-8.0,-19.93,-0.72,-12.53,84.115075,66.5,85.7,4.73491,94.0461,12.29,79.0,7.9,85.0,7.65,87.62,15.451,75.45,81.566,77.765
SDN,-23.07,-4.17,-11.26,-3.75,,,,,,,,,,,,,,,
SEN,-20.69,-6.42,-5.27,-3.53,,,,,,,,,,,,,,,
SGP,-58.58,-11.12,-0.18,-11.12,85.98393333333333,45.20758333333333,76.70280000000001,5.34042,88.5959,12.3658,58.823,3.63227,87.0956,8.06236,80.8089,12.3199,72.8644,57.825019999999995,79.12845
SLB,-88.36,-11.85,-16.4,-20.85,,,,,,,,,,,,,,,
SLE,-0.0,-4.26,-21.57,-6.3,,,,,,,,,,,,,,,
SLV,-25.0,-12.0,-2.81,-12.0,,,,,,,,,,,,,,,
SMR,-37.77,-10.52,-0.52,-20.04,,,,,,,,,,,,,,,
SOM,-25.0,-2.0,-4.0,-2.0,,,,,,,,,,,,,,,
SRB,-21.53,-9.87,-1.49,-4.49,52.06715666666667,27.6680425,53.527874999999995,,,,,,,,,,,36.1131,
SSD,-0.0,-6.07,-30.17,-2.06,,,,,,,,,,,,,,,
STP,-33.71,-11.75,-6.49,-7.68,,,,,,,,,,,,,,,
SUR,-14.66,-10.32,-4.21,-22.35,,,,,,,,,,,,,,,
SVK,-16.16,-17.25,-1.09,-15.58,48.6911325,35.58808666666667,60.8085,12.0953,72.7462,24.3634,39.5822,11.816,69.3172,33.8058,37.753,29.9134,33.9937,46.2396,44.84505
SVN,-40.92,-2.63,-0.39,-5.25,43.56571,31.63136,67.587,10.9196,76.5054,21.3681,40.5774,10.4928,75.335,28.0845,51.6161,27.3633,28.9793,46.53033333333334,20.7054
SWE,-55.15,-19.57,-0.39,-13.95,57.8574125,43.8723925,75.5743,11.9897,80.391,11.92,66.999,7.4065,83.2,6.02614,87.4024,3.32969,91.7967,57.887566666666665,
SWZ,-5.13,-13.51,-4.56,-2.43,,,,,,,,,,,,,,,
SXM,-27.93,-16.76,-0.91,-24.36,,,,,,,,,,,,,,,
SYC,-13.49,-20.27,-1.43,-20.27,,,,,,,,,,,,,,,
SYR,-0.76,-2.44,-5.72,-2.19,,,,,,,,,,,,,,,
TCA,-99.0,-42.0,-1.47,-44.5,,,,,,,,,,,,,,,
TCD,-0.0,-9.62,-21.65,-8.02,,,,,,,,,,,,,,,
TGO,-24.06,-8.02,-17.04,-8.02,,,,,,,,,,,,,,,
THA,-15.72,-3.77,-1.08,-6.81,,,,,,,,,,,,,,,
TJK,-7.31,-7.23,-4.99,-2.72,,,,,,,,,,,,,,,
TKM,-42.86,-51.43,-7.27,-14.29,,,,,,,,,,,,,,,
TLS,-49.0,-5.0,-3.85,-4.0,,,,,,,,,,,,,,,
TON,-7.32,-12.35,-2.88,-12.35,,,,,,,,,,,,,,,
TTO,-44.28,-24.18,-2.74,-25.92,,,,,,,,,,,,,,,
TUN,-12.93,-4.74,-1.53,-2.13,,,,,,,,,,,,,,,
TUR,-14.92,-6.35,-0.55,-6.35,54.27085333333333,17.571928333333336,57.88026666666667,10.5555,75.2488,18.2172,27.784,14.3008,60.8568,26.6883,41.6216,12.8728,3.56172,35.348569999999995,9.99815
TUV,-67.12,-13.42,-4.28,-23.83,,,,,,,,,,,,,,,
